,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,Sample Measurement
2329,1.0082125000000002,1.0164075,0.9537075000000002,0.9489225,0.8585575000000001,0.275145,0.27586,229.67552606,6.0
2330,1.0082125000000002,1.0164075,0.9537075000000002,0.9489225,0.8585575000000001,0.275145,0.27586,229.67552606,2.0
2331,1.0082125000000002,1.0164075,0.9537075000000002,0.9489225,0.8585575000000001,0.275145,0.27586,229.67552606,1.0
2332,1.0082125000000002,1.0164075,0.9537075000000002,0.9489225,0.8585575000000001,0.275145,0.27586,229.67552606,3.0
2333,1.151075,1.1602875,1.0787775000000002,1.06797,0.9619025,0.3154875,0.3192824999999999,226.6232342,5.0
2334,1.151075,1.1602875,1.0787775000000002,1.06797,0.9619025,0.3154875,0.3192824999999999,226.6232342,8.0
2335,1.151075,1.1602875,1.0787775000000002,1.06797,0.9619025,0.3154875,0.3192824999999999,226.6232342,6.0
2336,1.151075,1.1602875,1.0787775000000002,1.06797,0.9619025,0.3154875,0.3192824999999999,226.6232342,2.0
2337,1.151075,1.1602875,1.0787775000000002,1.06797,0.9619025,0.3154875,0.3192824999999999,226.6232342,1.0
2338,1.151075,1.1602875,1.0787775000000002,1.06797,0.9619025,0.3154875,0.3192824999999999,226.6232342,3.0
2339,1.10592,1.110595,1.048885,1.03684,0.96567,0.44284,0.4606874999999999,226.0250807,8.0
2340,1.10592,1.110595,1.048885,1.03684,0.96567,0.44284,0.4606874999999999,226.0250807,6.0
2341,1.10592,1.110595,1.048885,1.03684,0.96567,0.44284,0.4606874999999999,226.0250807,13.0
2342,0.88669,0.8862225000000001,0.8377675,0.8261625000000001,0.7685774999999999,0.30963,0.3236275,230.98462772,8.0
2343,0.88669,0.8862225000000001,0.8377675,0.8261625000000001,0.7685774999999999,0.30963,0.3236275,230.98462772,6.0
2344,0.88669,0.8862225000000001,0.8377675,0.8261625000000001,0.7685774999999999,0.30963,0.3236275,230.98462772,13.0
2345,1.0807575,1.0944525,1.0189375,1.0120900000000002,0.92849,0.3512925,0.34989,229.89769736,-1.0
2346,1.0807575,1.0944525,1.0189375,1.0120900000000002,0.92849,0.3512925,0.34989,229.89769736,1.0
2347,1.0807575,1.0944525,1.0189375,1.0120900000000002,0.92849,0.3512925,0.34989,229.89769736,2.0
2348,1.0807575,1.0944525,1.0189375,1.0120900000000002,0.92849,0.3512925,0.34989,229.89769736,38.0
2349,1.0807575,1.0944525,1.0189375,1.0120900000000002,0.92849,0.3512925,0.34989,229.89769736,30.0
2350,1.0807575,1.0944525,1.0189375,1.0120900000000002,0.92849,0.3512925,0.34989,229.89769736,8.0
2351,1.142935,1.1473625,1.0869725,1.0750925,0.983765,0.3896,0.3896825,226.74628292,-1.0
2352,1.142935,1.1473625,1.0869725,1.0750925,0.983765,0.3896,0.3896825,226.74628292,1.0
2353,1.142935,1.1473625,1.0869725,1.0750925,0.983765,0.3896,0.3896825,226.74628292,2.0
2354,1.142935,1.1473625,1.0869725,1.0750925,0.983765,0.3896,0.3896825,226.74628292,38.0
2355,1.142935,1.1473625,1.0869725,1.0750925,0.983765,0.3896,0.3896825,226.74628292,30.0
2356,1.142935,1.1473625,1.0869725,1.0750925,0.983765,0.3896,0.3896825,226.74628292,8.0
